
Library     Flags   Function
   [0159] [I...] ReleaseDC
   [0160] [I...] RemoveMenu
   [0161] [I...] RemovePropW
   [0162] [I...] ReuseDDElParam
   [0163] [I...] ScreenToClient
   [0164] [I...] ScrollWindow
   [0165] [I...] ScrollWindowEx
   [0166] [I...] SendDlgItemMessageA
   [0167] [I...] SendDlgItemMessageW
   [0168] [I...] SendMessageW
   [0169] [I...] SetActiveWindow
   [0170] [I...] SetCapture
   [0171] [I...] SetCaretPos
   [0172] [I...] SetClassLongW
   [0173] [I...] SetClipboardData
   [0174] [I...] SetClipboardViewer
   [0175] [I...] SetCursor
   [0176] [I...] SetCursorPos
   [0177] [I...] SetDlgItemTextW
   [0178] [I...] SetFocus
   [0179] [I...] SetForegroundWindow
   [0180] [I...] SetMenu
   [0181] [I...] SetMenuItemBitmaps
   [0182] [I...] SetParent
   [0183] [I...] SetPropW
   [0184] [I...] SetRect
   [0185] [I...] SetRectEmpty
   [0186] [I...] SetScrollInfo
   [0187] [I...] SetScrollPos
   [0188] [I...] SetScrollRange
   [0189] [I...] SetTimer
   [0190] [I...] SetWindowContextHelpId
   [0191] [I...] SetWindowLongW
   [0192] [I...] SetWindowPlacement
   [0193] [I...] SetWindowPos
   [0194] [I...] SetWindowTextW
   [0195] [I...] SetWindowsHookExW
   [0196] [I...] ShowCaret
   [0197] [I...] ShowOwnedPopups
   [0198] [I...] ShowScrollBar
   [0199] [I...] ShowWindow
   [0200] [I...] SystemParametersInfoW
   [0201] [I...] TabbedTextOutW
   [0202] [I...] TrackPopupMenu
   [0203] [I...] TrackPopupMenuEx
   [0204] [I...] TranslateAcceleratorW
   [0205] [I...] TranslateMDISysAccel
   [0206] [I...] TranslateMessage
   [0207] [I...] UnhookWindowsHookEx
   [0208] [I...] UnpackDDElParam
   [0209] [I...] UnregisterClassW
   [0210] [I...] UpdateWindow
   [0211] [I...] ValidateRect
   [0212] [I...] WaitMessage
   [0213] [I...] WinHelpW
   [0214] [I...] WindowFromPoint
   [0215] [I...] keybd_event
   [0216] [I...] wsprintfA
   [0217] [I...] wsprintfW
   [0218] [I...] wvsprintfW

[000015] UXTHEME.DLL
   [0000] [.D..] CloseThemeData
   [0001] [.D..] DrawThemeBackground
   [0002] [.D..] EnableThemeDialogTexture
   [0003] [.D..] IsAppThemed
   [0004] [.D..] OpenThemeData
   [0005] [.D..] SetWindowTheme

[000016] VERSION.DLL
   [0000] [ID..] GetFileVersionInfoSizeW
   [0001] [ID..] GetFileVersionInfoW
   [0002] [ID..] VerQueryValueW

[000017] WINSPOOL.DRV
   [0000] [I...] ClosePrinter
   [0001] [I...] DocumentPropertiesW
   [0002] [I...] OpenPrinterW

